[2026-04-22T14:34:38.984+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7429, completion-tokens, 123, total-tokens, 7552, cost-ms, 7205, requestId, d99e589a-13cd-9174-a22d-f1e92238cf34, temperature, 0
[2026-04-22T14:34:44.859+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7639, completion-tokens, 137, total-tokens, 7776, cost-ms, 4817, requestId, f9b9ef7a-a077-983c-8df1-b6d74a7cfdee, temperature, 0
[2026-04-22T14:34:51.245+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7874, completion-tokens, 124, total-tokens, 7998, cost-ms, 4758, requestId, 64fa34c3-d389-9a29-bc89-0b970ed9e49a, temperature, 0
[2026-04-22T14:34:58.802+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 8104, completion-tokens, 79, total-tokens, 8183, cost-ms, 4741, requestId, 23353f51-814e-95cc-97f5-ded0e74b79fa, temperature, 0
[2026-04-22T14:35:06.352+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2433, completion-tokens, 99, total-tokens, 2532, cost-ms, 4297, requestId, 339b089a-8493-93f0-b4ce-528ad3b822bc, temperature, 0
[2026-04-22T14:37:42.805+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7429, completion-tokens, 135, total-tokens, 7564, cost-ms, 5936, requestId, da99cfe9-63aa-94ba-a4f8-ec505704d841, temperature, 0
[2026-04-22T14:37:48.837+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7652, completion-tokens, 124, total-tokens, 7776, cost-ms, 4541, requestId, f7386877-7675-9966-8065-60cc820fef1b, temperature, 0
[2026-04-22T14:37:55.060+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7872, completion-tokens, 77, total-tokens, 7949, cost-ms, 3430, requestId, 0a3bf7d5-1add-9522-a365-8ac175140c74, temperature, 0
[2026-04-22T14:38:02.305+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2433, completion-tokens, 95, total-tokens, 2528, cost-ms, 3910, requestId, 5f0b8422-54a9-9a2e-85a9-e071450d8d4d, temperature, 0
[2026-04-22T14:39:26.255+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7429, completion-tokens, 129, total-tokens, 7558, cost-ms, 4729, requestId, 6f7360ea-cfa9-9f51-875e-44c51a3e7ccd, temperature, 0
[2026-04-22T14:39:33.331+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7645, completion-tokens, 136, total-tokens, 7781, cost-ms, 6040, requestId, c507ad84-1526-926d-ad67-356ead5a83a5, temperature, 0
[2026-04-22T14:39:38.106+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7879, completion-tokens, 94, total-tokens, 7973, cost-ms, 3286, requestId, 448f3737-c966-976c-bd49-ca9196a2d233, temperature, 0
[2026-04-22T14:39:44.471+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 8080, completion-tokens, 90, total-tokens, 8170, cost-ms, 3535, requestId, d7b499f1-5199-98ab-8e46-49cd61e645e0, temperature, 0
[2026-04-22T14:39:50.866+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2433, completion-tokens, 86, total-tokens, 2519, cost-ms, 3150, requestId, 127da135-37b3-9b8f-a34b-2ca7a5f83adb, temperature, 0
[2026-04-22T14:45:50.610+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7429, completion-tokens, 130, total-tokens, 7559, cost-ms, 4732, requestId, fe9527ca-200f-905a-8b4a-aace0880b1a2, temperature, 0
[2026-04-22T14:45:56.289+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7646, completion-tokens, 89, total-tokens, 7735, cost-ms, 4605, requestId, d5836bcf-1683-907e-8ed8-880fed260723, temperature, 0
[2026-04-22T14:46:01.708+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7833, completion-tokens, 123, total-tokens, 7956, cost-ms, 4050, requestId, cb728d1d-bbd5-9d29-948e-72f7821367f4, temperature, 0
[2026-04-22T14:46:08.360+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 8062, completion-tokens, 73, total-tokens, 8135, cost-ms, 3639, requestId, 09d52d15-a953-9b8e-b804-d6e5264a0d04, temperature, 0
[2026-04-22T14:46:14.272+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2433, completion-tokens, 83, total-tokens, 2516, cost-ms, 2658, requestId, 61b81beb-f8cf-9a70-88a6-61365c46e9a6, temperature, 0
[2026-04-22T14:48:33.682+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7429, completion-tokens, 129, total-tokens, 7558, cost-ms, 4645, requestId, 6faaa868-d844-9afc-809c-1dc275b24104, temperature, 0
[2026-04-22T14:48:39.257+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7645, completion-tokens, 127, total-tokens, 7772, cost-ms, 4545, requestId, da5cb272-07d3-9b58-8ded-5d1437eca09a, temperature, 0
[2026-04-22T14:48:46.970+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7870, completion-tokens, 124, total-tokens, 7994, cost-ms, 4380, requestId, e98162bc-c32e-96c6-8961-ed59bd85ec38, temperature, 0
[2026-04-22T14:48:56.679+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 8100, completion-tokens, 49, total-tokens, 8149, cost-ms, 6609, requestId, 2e55ca4a-84b3-96e9-a099-a5bb6c49382e, temperature, 0
